"","countyfips","statefip","year","population","anti_racial.max","anti_racial.sum","anti_racial.mean","racial_crime_diff","racial_crime_per_cap","racial_crime_per_1000"
"8136",137,27,2006,200226,1,2,0.791666666666667,1.20833333333333,9.98871275458732e-06,0.00998871275458732
"8137",137,27,2007,200226,1,1,0.791666666666667,0.208333333333333,4.99435637729366e-06,0.00499435637729366
"8138",137,27,2008,200226,1,6,0.791666666666667,5.20833333333333,2.99661382637619e-05,0.0299661382637619
"8139",137,27,2009,200226,1,1,0.791666666666667,0.208333333333333,4.99435637729366e-06,0.00499435637729366
"8140",137,27,2010,200226,1,3,0.791666666666667,2.20833333333333,1.4983069131881e-05,0.014983069131881
"8141",137,27,2012,200226,1,1,0.791666666666667,0.208333333333333,4.99435637729366e-06,0.00499435637729366
"8142",137,27,2013,200226,1,1,0.791666666666667,0.208333333333333,4.99435637729366e-06,0.00499435637729366
"8143",137,27,2014,200226,1,2,0.791666666666667,1.20833333333333,9.98871275458732e-06,0.00998871275458732
"8144",137,27,2015,200226,1,2,0.791666666666667,1.20833333333333,9.98871275458732e-06,0.00998871275458732
"8145",137,29,2007,8840,1,1,1,0,0.000113122171945701,0.113122171945701
"8146",137,39,2010,34499,1,1,0.666666666666667,0.333333333333333,2.89863474303603e-05,0.0289863474303603
"8147",137,39,2014,34499,0,0,0.666666666666667,-0.666666666666667,0,0
"8148",137,39,2015,34499,1,1,0.666666666666667,0.333333333333333,2.89863474303603e-05,0.0289863474303603
"8149",137,40,2008,45048,1,1,1,0,2.21985437755283e-05,0.0221985437755283
"8150",137,51,2005,33481,0,0,0.375,-0.375,0,0
"8151",137,51,2006,33481,0,0,0.375,-0.375,0,0
"8152",137,51,2008,33481,1,1,0.375,0.625,2.98676861503539e-05,0.0298676861503539
"8153",137,51,2013,33481,1,2,0.375,1.625,5.97353723007079e-05,0.0597353723007079
"8154",137,55,2008,24496,1,1,1,0,4.08229915088178e-05,0.0408229915088178
"8155",139,5,2006,41639,1,1,0.5,0.5,2.40159465885348e-05,0.0240159465885348
"8156",139,5,2007,41639,0,0,0.5,-0.5,0,0
"8157",139,18,2011,17392,1,1,1,0,5.74977000919963e-05,0.0574977000919963
"8158",139,18,2015,17392,1,2,1,1,0.000114995400183993,0.114995400183993
"8159",139,20,2007,16295,1,1,1,0,6.13685179502915e-05,0.0613685179502915
"8160",139,26,2005,263801,1,5,0.796875,4.203125,1.89536809943859e-05,0.0189536809943859
"8161",139,26,2006,263801,1,6,0.796875,5.203125,2.27444171932631e-05,0.0227444171932631
"8162",139,26,2007,263801,1,4,0.796875,3.203125,1.51629447955087e-05,0.0151629447955087
"8163",139,26,2008,263801,1,2,0.796875,1.203125,7.58147239775437e-06,0.00758147239775437
"8164",139,26,2009,263801,1,5,0.796875,4.203125,1.89536809943859e-05,0.0189536809943859
