"","countyfips","statefip","year","anti_native.max","anti_native.sum"
"830","007","49",2011,0,0
"831","007","49",2012,0,0
"832","007","49",2013,0,0
"833","007","49",2014,0,0
"834","007","49",2015,1,1
"835","007","49",2016,0,0
"836","007","50",2005,1,1
"837","007","50",2006,0,0
"838","007","50",2007,0,0
"839","007","50",2008,0,0
"840","007","50",2009,0,0
"841","007","50",2010,0,0
"842","007","50",2011,0,0
"843","007","50",2012,0,0
"844","007","50",2013,0,0
"845","007","50",2014,0,0
"846","007","50",2015,0,0
"847","007","50",2016,0,0
"848","007","51",2006,0,0
"849","007","51",2007,0,0
"850","007","51",2008,0,0
"851","007","51",2009,0,0
"852","007","51",2010,0,0
"853","007","51",2016,0,0
"854","007","53",2006,0,0
"855","007","53",2007,0,0
"856","007","53",2010,0,0
"857","007","53",2011,0,0
"858","007","53",2012,0,0
"859","007","53",2013,0,0
"860","007","56",2006,0,0
"861","007","56",2012,0,0
"862","009","01",2010,0,0
"863","009","01",2011,0,0
"864","009","04",2015,0,0
"865","009","05",2005,0,0
"866","009","05",2009,0,0
"867","009","05",2015,0,0
"868","009","06",2007,0,0
"869","009","06",2008,0,0
"870","009","06",2009,0,0
"871","009","06",2010,0,0
"872","009","06",2013,0,0
"873","009","06",2014,0,0
"874","009","06",2015,0,0
"875","009","09",2005,0,0
"876","009","09",2006,0,0
"877","009","09",2007,1,1
"878","009","09",2008,1,1
"879","009","09",2009,0,0
"880","009","09",2010,0,0
"881","009","09",2011,0,0
"882","009","09",2012,0,0
"883","009","09",2013,0,0
"884","009","09",2014,0,0
"885","009","09",2015,0,0
"886","009","09",2016,0,0
"887","009","12",2005,0,0
"888","009","12",2006,0,0
"889","009","12",2007,0,0
"890","009","12",2008,0,0
"891","009","12",2009,0,0
"892","009","12",2010,0,0
"893","009","12",2011,0,0
"894","009","12",2012,0,0
"895","009","12",2013,0,0
"896","009","12",2014,0,0
"897","009","12",2015,0,0
"898","009","12",2016,0,0
"899","009","16",2015,0,0
"900","009","16",2016,0,0
"901","009","17",2009,0,0
"902","009","20",2008,0,0
"903","009","20",2009,0,0
"904","009","20",2011,0,0
"905","009","20",2015,0,0
"906","009","21",2009,0,0
"907","009","21",2010,0,0
"908","009","21",2011,0,0
"909","009","21",2014,0,0
"910","009","21",2015,0,0
"911","009","21",2016,0,0
"912","009","22",2016,0,0
"913","009","23",2006,0,0
"914","009","23",2007,0,0
"915","009","23",2008,0,0
"916","009","23",2009,0,0
"917","009","23",2010,0,0
"918","009","23",2012,0,0
"919","009","23",2013,0,0
"920","009","23",2014,0,0
"921","009","24",2006,0,0
"922","009","24",2008,0,0
"923","009","24",2010,0,0
"924","009","24",2012,0,0
"925","009","25",2005,0,0
"926","009","25",2006,0,0
"927","009","25",2007,0,0
"928","009","25",2008,0,0
"929","009","25",2009,0,0
"930","009","25",2010,0,0
"931","009","25",2011,0,0
"932","009","25",2012,0,0
"933","009","25",2013,0,0
"934","009","25",2014,0,0
"935","009","25",2015,0,0
"936","009","25",2016,0,0
"937","009","26",2005,0,0
"938","009","26",2006,0,0
"939","009","26",2007,1,1
"940","009","26",2008,0,0
"941","009","26",2009,0,0
"942","009","26",2010,0,0
"943","009","26",2013,0,0
"944","009","27",2006,1,1
"945","009","27",2008,0,0
"946","009","29",2006,0,0
"947","009","29",2008,0,0
"948","009","30",2010,0,0
"949","009","30",2012,0,0
"950","009","30",2015,0,0
"951","009","33",2005,0,0
"952","009","33",2006,0,0
"953","009","33",2007,0,0
"954","009","33",2008,0,0
"955","009","33",2009,0,0
"956","009","33",2010,0,0
"957","009","33",2012,0,0
"958","009","33",2013,0,0
"959","009","33",2014,0,0
"960","009","34",2005,0,0
"961","009","34",2006,0,0
"962","009","34",2007,0,0
"963","009","34",2008,0,0
"964","009","34",2009,0,0
"965","009","34",2010,0,0
"966","009","34",2011,0,0
"967","009","34",2012,0,0
"968","009","34",2013,0,0
"969","009","34",2014,0,0
"970","009","34",2015,0,0
"971","009","34",2016,0,0
"972","009","36",2008,0,0
"973","009","36",2009,0,0
"974","009","36",2011,0,0
"975","009","36",2012,0,0
"976","009","36",2013,0,0
"977","009","36",2015,0,0
"978","009","38",2014,0,0
"979","009","39",2005,0,0
"980","009","39",2006,0,0
"981","009","39",2007,0,0
"982","009","39",2008,0,0
"983","009","39",2009,0,0
"984","009","39",2010,0,0
"985","009","39",2011,0,0
"986","009","39",2012,0,0
"987","009","39",2013,0,0
"988","009","39",2014,0,0
"989","009","39",2015,0,0
"990","009","39",2016,0,0
"991","009","40",2005,0,0
